image_id,width,height,xmin,ymin,xmax,ymax,label
08_084_08014001_160352380289737_1,4032,1960,768,274,2927,1580,떡볶이
09_091_09011002_160431975960106_0,720,960,62,223,633,777,갈치조림
01_014_01014005_161063328383169_1,2992,2992,272,367,2596,1760,비빔밥
04_042_04012008_160687757237605_0,3024,4032,385,904,2647,3130,시레기된장국
01_012_01012001_160482536087989_1,4000,3000,1270,1032,2529,1603,잡곡밥
01_014_01014001_160621005898101_1,3024,3024,547,742,2433,1824,김치볶음밥
02_021_02011027_160924133214479_0,1989,2152,152,247,1826,2152,짜장면
01_011_01011001_160308562298169_0,4032,3024,1201,458,3126,2516,쌀밥
10_102_10012002_160774994134291_1,3480,4640,308,434,3409,4002,치킨
02_021_02011034_160835267578054_1,689,504,125,83,574,408,크림파스타
10_102_10012003_160674149756649_1,1331,1249,345,37,1253,651,돈까스
06_062_06012004_160826264316815_0,720,960,133,327,597,743,떡갈비
01_014_01014001_160646704052665_1,3024,3024,275,394,2633,1913,김치볶음밥
10_102_10012003_160748427084496_1,4032,3024,400,203,3776,2192,돈까스
02_021_02011027_160783191189016_0,3024,4032,317,903,2728,3264,짜장면
10_102_10012002_160544150730963_0,4032,3024,704,501,3504,2752,치킨
01_014_01014005_161053237291142_1,4032,3024,685,469,3554,2294,비빔밥
06_062_06012004_160359056270163_1,4032,3024,1153,505,3162,1883,떡갈비
06_062_06012004_160899298864398_1,4000,3000,1128,645,3385,2286,떡갈비
08_084_08014001_160396036749812_1,4248,5664,252,1029,3615,3634,떡볶이
04_042_04012008_160466232087747_0,2107,2373,501,611,1606,1795,시레기된장국
08_084_08014001_160353842370618_1,4032,2268,219,33,3419,2154,떡볶이
06_062_06012004_160517236112736_0,3024,4032,557,886,2336,2929,떡갈비
06_062_06012004_160843740091410_1,4032,3024,827,800,3307,1621,떡갈비
02_021_02011034_160962344334548_1,4248,5664,403,2619,3372,4643,크림파스타
08_084_08014001_160552958141299_0,3024,4032,381,1036,2793,3194,떡볶이
02_021_02011027_160542491292718_1,4032,3024,572,303,3692,2913,짜장면
01_011_01011001_160414898191098_0,3024,3024,136,336,2648,2512,쌀밥
10_102_10012003_160671071519558_0,4032,3024,617,682,2158,2508,돈까스
01_011_01011001_160362134962409_1,4624,3468,917,391,3670,2783,쌀밥
10_102_10012002_160768242731825_0,1557,1393,13,452,1349,1123,치킨
08_084_08014001_160507050285156_1,4032,3024,363,304,3275,2171,떡볶이
02_021_02011034_160670154428788_1,1080,899,28,119,976,642,크림파스타
06_062_06012004_160749233123899_0,605,530,82,39,535,487,떡갈비
01_011_01011001_160437469714388_0,4032,3024,1093,309,3429,2592,쌀밥
09_091_09011002_160782786432733_1,3024,4032,347,1326,2744,3197,갈치조림
01_011_01011001_160445835538958_0,3024,4032,573,1294,2586,3300,쌀밥
01_011_01011001_160404311332865_1,3024,2260,516,347,2640,1208,쌀밥
01_014_01014001_160707763876971_0,4032,3024,949,272,3205,2576,김치볶음밥
02_021_02011027_160906763327546_0,960,1280,121,368,850,1095,짜장면
01_014_01014005_161067411163122_0,3096,4128,798,925,2363,2599,비빔밥
01_011_01011001_160465209046308_1,1080,1440,179,282,814,861,쌀밥
10_102_10012002_160640208863290_1,4032,3024,1012,876,3110,1808,치킨
10_102_10012003_160534848388077_1,4032,3024,744,915,3260,2304,돈까스
01_014_01014001_160638030166462_0,4032,3024,320,581,3465,2620,김치볶음밥
10_102_10012003_160611661252946_0,3096,4128,1540,1117,2681,2728,돈까스
01_012_01012001_160569545518581_0,3024,3024,635,846,2362,2445,잡곡밥
02_021_02011034_160906786553990_1,4000,3000,1085,439,3444,2169,크림파스타
01_014_01014001_160515789328460_1,960,720,184,171,792,551,김치볶음밥
08_084_08014001_160620723317959_1,2585,2682,546,752,1824,2098,떡볶이
06_062_06012004_160828347113243_1,960,720,234,136,777,451,떡갈비
02_021_02011027_160775744958634_1,3024,4032,388,700,2905,3009,짜장면
01_014_01014005_161077583442731_0,3024,4032,391,962,2549,3078,비빔밥
09_091_09011002_160837420115493_0,4032,3024,885,336,3232,2629,갈치조림
02_021_02011034_160930770057137_1,2160,2160,68,375,2014,1766,크림파스타
01_012_01012001_160389221581940_0,3024,3024,411,454,2578,2645,잡곡밥
01_011_01011001_160431960591108_0,4128,3096,973,377,3252,2805,쌀밥
09_091_09011002_161131586121485_0,2975,3861,268,588,2804,3154,갈치조림
10_102_10012002_160640223031819_0,3024,4032,270,1361,2732,3162,치킨
02_021_02011027_160828109439419_1,3480,4640,439,966,3180,3208,짜장면
02_021_02011027_160488859978854_0,720,960,147,283,588,734,짜장면
01_014_01014005_161068085546704_1,3024,4032,339,1020,2644,2243,비빔밥
10_102_10012003_160759869052999_1,4000,2252,264,482,3307,1859,돈까스
01_012_01012001_160526957155723_0,1080,1440,125,361,806,1085,잡곡밥
06_062_06012004_160534539387060_0,2268,4032,386,1198,1902,2896,떡갈비
01_011_01011001_160403261154593_0,4248,5664,885,2348,3123,3566,쌀밥
10_102_10012003_160509898081611_0,3000,4000,625,554,2281,3426,돈까스
06_062_06012004_160922919331059_1,4032,3024,1060,651,2915,2127,떡갈비
04_042_04012008_160385179621828_1,832,663,141,121,707,566,시레기된장국
06_062_06012004_160845552996228_1,4032,3024,576,821,2971,2139,떡갈비
01_011_01011001_160465243547942_0,2956,3553,590,988,2347,2835,쌀밥
02_021_02011034_160869448242884_0,5312,2988,1503,564,3677,2662,크림파스타
02_021_02011034_160976235346713_0,720,960,105,210,576,716,크림파스타
02_021_02011034_160567265839315_1,4032,3024,1002,0,3279,2063,크림파스타
01_011_01011001_160446740493557_0,1080,1920,0,613,1080,1270,쌀밥
06_062_06012004_160567619590889_0,1960,4032,105,1003,1805,2809,떡갈비
01_014_01014001_160591976212725_0,720,960,77,261,646,886,김치볶음밥
08_084_08014001_160482220326892_0,3024,4032,456,677,2754,3177,떡볶이
01_014_01014005_161060563353938_1,3264,2448,786,393,2785,1580,비빔밥
08_084_08014001_160471999557955_1,3000,4000,290,775,2592,2443,떡볶이
02_021_02011027_160920080289014_1,4032,3024,432,405,3243,2320,짜장면
02_021_02011027_160872345777046_1,4032,3024,611,557,3297,2722,짜장면
04_042_04012008_160993166094747_1,3024,3024,593,676,2355,1994,시레기된장국
10_102_10012002_160664646856744_0,720,961,167,320,604,761,치킨
10_102_10012003_160326600223343_1,3024,4032,294,936,2677,3063,돈까스
01_014_01014005_161079591297166_1,5664,2616,1511,522,4275,1987,비빔밥
10_102_10012002_160776620852702_0,3024,4032,737,761,2579,2780,치킨
01_011_01011001_160275882729051,3024,4032,320,940,2584,3131,쌀밥
06_062_06012004_160950284959952_0,5312,2988,1303,194,3257,2637,떡갈비
02_021_02011027_160536938753631_1,4032,3024,667,361,3540,2767,짜장면
10_102_10012003_160665658412220_1,4032,3024,741,107,3536,1835,돈까스
06_062_06012004_160644963153305_0,3024,4032,1036,1547,2137,2938,떡갈비
01_014_01014001_160657664571541_0,1440,1080,268,216,1074,841,김치볶음밥
06_062_06012004_160464896048558_1,2988,2144,182,193,1725,1448,떡갈비
01_014_01014001_160707587120257_0,3024,4032,540,1083,2413,3067,김치볶음밥
01_012_01012001_160575560669864_0,2272,4032,389,1387,1624,2801,잡곡밥
01_011_01011001_160388295139282_0,3492,4656,923,1224,2456,2919,쌀밥
10_102_10012003_160715149693639_1,4248,5664,1007,3193,3284,4699,돈까스
06_062_06012004_160886677094458_0,1080,1920,232,664,963,1392,떡갈비
04_042_04012008_160976188466759_1,4032,2268,1027,575,2839,1493,시레기된장국
08_084_08014001_160646929949092_0,4032,2268,569,119,3255,2029,떡볶이
10_102_10012002_160691624336728_1,3024,4032,240,1577,2814,2931,치킨
10_102_10012003_160558811885186_1,2243,2273,340,52,1687,2097,돈까스
06_062_06012004_160398064343329_1,3492,4656,569,1013,3274,3697,떡갈비
01_012_01012001_160312361553148_1,4032,1960,1144,103,2856,1336,잡곡밥
01_014_01014005_161063269735913_1,2880,2160,559,424,2329,1705,비빔밥
02_021_02011027_161088216660006_0,720,960,100,254,603,773,짜장면
09_091_09011002_161175377140935_0,3024,4032,641,862,2594,2974,갈치조림
04_042_04012008_160377130164174_0,3456,4608,265,1268,2890,3730,시레기된장국
01_012_01012001_160532941782443_0,3024,4032,588,1031,2536,3236,잡곡밥
08_084_08014001_160627752720067_0,3024,3024,573,507,2451,2384,떡볶이
01_014_01014001_160532466985156_1,3024,4032,0,676,2963,3548,김치볶음밥
01_014_01014005_161061458426330_1,2448,3264,435,685,2065,1879,비빔밥
10_102_10012003_160289790891516_0,3024,4032,166,424,2360,3571,돈까스
06_062_06012004_160456965573275_0,3024,4032,682,1059,2263,2791,떡갈비
01_014_01014005_161063245559697_1,2880,2160,629,450,2232,1501,비빔밥
04_042_04012008_160740687455104_1,960,720,221,241,832,508,시레기된장국
10_102_10012003_160604103458899_1,565,583,151,106,434,409,돈까스
06_062_06012004_160343367996840_1,3024,4032,381,1244,2351,2923,떡갈비
10_102_10012003_160522769144538_1,4032,3024,565,645,2299,2101,돈까스
01_014_01014005_161067239642996_0,3096,4128,747,985,2323,2689,비빔밥
01_014_01014001_160663915818879_1,4032,3024,900,601,3263,2625,김치볶음밥
01_014_01014001_160549157267288_0,720,960,116,249,620,817,김치볶음밥
10_102_10012002_160683177652281_0,933,898,124,136,897,830,치킨
06_062_06012004_160465056333154_0,4248,5664,566,1219,3712,4265,떡갈비
01_012_01012001_160446213890793_0,1960,4032,537,1613,1652,2759,잡곡밥
10_102_10012003_160439156684597_1,4032,3024,2390,136,3631,2383,돈까스
01_011_01011001_160337108716913_1,4656,3492,456,345,4096,2895,쌀밥
02_021_02011034_160948115554495_0,3024,4032,453,1573,2571,3099,크림파스타
09_091_09011002_161007254994222_1,960,720,226,138,588,547,갈치조림
09_091_09011002_161016963440495_0,1430,1440,275,416,1166,1230,갈치조림
01_011_01011001_160273657634030,4032,3024,645,180,3392,2844,쌀밥
04_042_04012008_161003626215352_0,3000,4000,502,1029,2461,2989,시레기된장국
01_014_01014001_160726118249585_0,3000,4000,435,649,2749,3019,김치볶음밥
01_014_01014001_160551967932784_0,3024,4032,621,1477,2277,3392,김치볶음밥
08_084_08014001_160585801829196_0,3024,4032,531,526,2636,3548,떡볶이
01_014_01014001_160432013637897_0,4032,3024,1101,458,3048,2327,김치볶음밥
09_091_09011002_161141284782521_0,2160,2880,379,797,1789,2218,갈치조림
10_102_10012002_160568935082086_0,4032,3024,699,206,3416,2812,치킨
09_091_09011002_160691124670531_1,1816,4032,225,1508,1605,2439,갈치조림
10_102_10012002_160707732481115_1,3468,4624,0,299,3466,3523,치킨
10_102_10012002_160769787263889_0,3456,3456,631,561,2776,2773,치킨
06_062_06012004_160937552597855_0,5664,4248,1333,583,3923,3273,떡갈비
01_014_01014005_161063934157678_1,4032,3024,761,550,3097,2365,비빔밥
10_102_10012002_160717001433119_0,3024,3024,179,495,2431,2666,치킨
04_042_04012008_160898822748249_0,540,960,80,220,477,600,시레기된장국
10_102_10012003_160601569480866_0,4032,3024,1360,0,3717,1621,돈까스
06_062_06012004_160895508057817_1,3024,4032,431,1040,2814,3129,떡갈비
10_102_10012003_160750291469278_0,3480,4640,259,1956,3148,3372,돈까스
01_011_01011001_160377492152160_0,2252,2438,265,373,2002,2148,쌀밥
01_014_01014001_160682659218421_0,3024,4032,225,398,2792,2887,김치볶음밥
02_021_02011027_161019526174277_1,3824,2151,702,358,3355,1743,짜장면
10_102_10012002_160769670749504_1,3456,3456,558,884,2715,2578,치킨
02_021_02011034_160670674465743_0,4032,2272,1298,506,2834,1875,크림파스타
01_014_01014001_160759421810033_1,2102,1634,475,285,1524,1274,김치볶음밥
10_102_10012002_160696878626948_0,4032,3024,905,419,3167,2529,치킨
01_014_01014005_161062620383985_0,3024,4032,391,1132,2429,3226,비빔밥
02_021_02011034_160967305868807_0,4248,5664,668,927,3419,4700,크림파스타
02_021_02011034_160829635997239_1,4032,3024,293,325,3675,2085,크림파스타
09_091_09011002_161008290937031_1,960,720,417,185,720,499,갈치조림
10_102_10012003_160661158126590_0,3024,3024,979,469,2392,2405,돈까스
06_062_06012004_160845538462211_0,4032,3024,960,880,3456,2411,떡갈비
08_084_08014001_160593321733412_0,2268,4032,622,1447,1753,2760,떡볶이
04_042_04012008_160569701166175_1,720,960,78,273,707,639,시레기된장국
10_102_10012002_160645891617749_0,3024,4032,484,1434,2580,3107,치킨
01_014_01014005_161068068885066_1,3024,4032,275,1493,2877,2852,비빔밥
01_014_01014001_160601673355839_0,3024,3024,701,645,2344,2267,김치볶음밥
06_062_06012004_160916368769802_0,1646,1826,324,374,1419,1395,떡갈비
02_021_02011027_160275411234485,4032,3024,779,507,3467,2843,짜장면
09_091_09011002_160281301760078,3024,4032,380,1160,2833,2520,갈치조림
08_084_08014001_160558415775043_0,3024,4032,590,1220,2821,3013,떡볶이
09_091_09011002_161006921574980_0,960,720,415,234,631,523,갈치조림
06_062_06012004_160735956271325_0,3024,4032,358,870,2650,2925,떡갈비
02_021_02011034_160920118168375_0,3024,3024,623,486,2556,2372,크림파스타
04_042_04012008_160740518788580_1,960,720,180,175,818,502,시레기된장국
01_014_01014001_160766972743166_1,3024,3024,413,421,2664,2555,김치볶음밥
10_102_10012002_160621687140067_0,3456,4608,689,1069,2651,3116,치킨
01_014_01014005_161058655342105_1,4032,1908,1041,457,2957,1242,비빔밥
02_021_02011027_160709469887629_0,2070,2045,288,283,1639,1622,짜장면
08_084_08014001_160499126352509_0,4656,3492,794,459,3725,3403,떡볶이
08_084_08014001_160500020250284_0,960,720,278,161,710,607,떡볶이
04_042_04012008_160385179621828_0,571,553,91,95,467,459,시레기된장국
01_012_01012001_160377248328022_0,4032,3024,784,187,2960,2943,잡곡밥
02_021_02011027_160362901485753_0,3120,4160,459,814,2756,3103,짜장면
06_062_06012004_160873260168696_1,3024,3024,450,1297,2466,2338,떡갈비
06_062_06012004_160444479062599_1,2852,2788,84,103,2783,2227,떡갈비
10_102_10012002_160664703689092_1,720,961,185,273,570,724,치킨
10_102_10012003_160756560486244_0,2268,2501,295,1077,2069,2063,돈까스
01_014_01014005_161067347034462_0,3096,4128,747,1053,2169,2535,비빔밥
01_014_01014001_160491255169033_0,3024,3024,580,569,2254,2237,김치볶음밥
02_021_02011034_160713928515135_1,3024,3024,445,571,2685,2085,크림파스타
01_014_01014001_160636031978952_1,720,960,7,317,631,715,김치볶음밥
02_021_02011034_160851955558465_1,3024,3024,600,765,2494,2515,크림파스타
08_084_08014001_160612606587913_0,3024,4032,588,562,2323,3257,떡볶이
10_102_10012002_160769666992562_0,3456,3456,923,945,2953,2853,치킨
10_102_10012003_160565542821892_1,3024,3024,296,608,2717,2331,돈까스
09_091_09011002_160775753943193_1,3024,4032,346,1280,2625,3192,갈치조림
10_102_10012002_160336834090914_1,3024,3024,339,485,2621,2011,치킨
08_084_08014001_160587605120705_0,3024,3024,744,603,2413,2256,떡볶이
06_062_06012004_160765616684880_1,3024,3024,675,636,2343,2131,떡갈비
10_102_10012002_160757191641218_0,4032,3024,648,737,3076,2368,치킨
01_014_01014001_160691137180066_1,3024,2023,456,275,2397,1652,김치볶음밥
10_102_10012002_160769711266063_0,3456,3456,582,951,2801,2621,치킨
01_014_01014005_161077268949936_1,2268,4032,453,1593,1860,2656,비빔밥
01_014_01014001_160733525736697_0,3468,4624,147,952,3230,3890,김치볶음밥
04_042_04012008_160394235276147_1,3024,4032,543,1158,2656,2376,시레기된장국
01_014_01014005_161079396244059_0,3024,3024,858,758,2308,2208,비빔밥
02_021_02011034_160976220297239_1,720,960,96,283,594,680,크림파스타
02_021_02011027_160825117140758_1,4032,3024,597,251,3616,2613,짜장면
04_042_04012008_160997693529668_1,4032,3024,486,540,3629,2247,시레기된장국
01_014_01014001_160465369765840_1,4032,2268,965,157,3195,1987,김치볶음밥
02_021_02011027_160777799434602_1,4410,2613,796,477,2943,1803,짜장면
06_062_06012004_160828340550709_0,960,720,342,194,700,499,떡갈비
02_021_02011027_160873874822456_1,3024,3024,855,580,2858,2723,짜장면
10_102_10012002_160459020567653_1,1000,1000,216,307,775,750,치킨
10_102_10012002_160743753553280_0,4032,3024,1003,928,3467,2533,치킨
01_014_01014005_161058712146724_0,4032,1908,1322,442,2688,1576,비빔밥
10_102_10012003_160691094758590_1,960,881,351,61,918,558,돈까스
09_091_09011002_161148708943596_0,960,720,327,126,741,625,갈치조림
01_012_01012001_160358873713631_1,3024,4032,673,951,2286,3031,잡곡밥
01_014_01014001_160688387926986_1,4032,3024,443,320,3381,2747,김치볶음밥
08_084_08014001_160467524849771_0,2880,2160,862,383,2086,1606,떡볶이
01_014_01014005_161075460269101_0,3096,4128,525,1105,2237,2578,비빔밥
01_012_01012001_160388680860080_0,1836,3264,118,857,1752,2416,잡곡밥
04_042_04012008_160740209631764_0,960,960,209,242,810,777,시레기된장국
02_021_02011034_160844505163781_0,3024,4032,582,1083,2548,3030,크림파스타
08_084_08014001_160431832160027_1,3072,3072,100,964,2890,2801,떡볶이
01_011_01011001_160419164116469_1,3456,4608,395,870,3134,2820,쌀밥
01_011_01011001_160308252220068_0,1913,1696,115,47,1783,1540,쌀밥
01_014_01014005_161063324914453_1,2992,2992,420,565,2638,1719,비빔밥
10_102_10012002_160639511665407_1,4032,3024,565,285,3690,2762,치킨
08_084_08014001_160614187839870_1,4032,3024,571,528,3371,2267,떡볶이
10_102_10012002_160689338336124_1,3024,4032,488,583,2650,2716,치킨
02_021_02011034_160942513344982_0,3456,3456,783,792,2764,2572,크림파스타
02_021_02011027_160412600740510_1,3120,4160,0,771,3120,3396,짜장면
10_102_10012002_160524102252494_1,3024,4032,652,1209,2451,2304,치킨
08_084_08014001_160491667449456_0,720,960,114,178,704,768,떡볶이
01_012_01012001_160431306095475_1,3024,3024,558,686,2628,2500,잡곡밥
08_084_08014001_160562544188890_1,2160,2160,223,490,1969,1554,떡볶이
01_014_01014005_161063335468271_0,2992,2992,404,400,2588,2675,비빔밥
01_014_01014005_161063354742656_0,3024,4032,497,944,2641,3186,비빔밥
01_011_01011001_160427889496143_0,2268,4032,368,1019,1951,2751,쌀밥
01_012_01012001_160450988227964_1,4032,2268,756,352,2967,1916,잡곡밥
10_102_10012003_160359813734047_1,3024,3024,200,715,2883,1893,돈까스
04_042_04012008_160999522071764_0,2856,2268,552,307,2188,2010,시레기된장국
10_102_10012002_160699288766126_1,4032,3024,367,872,3645,2154,치킨
01_011_01011001_160446361260701_0,1664,1649,166,73,1635,1637,쌀밥
01_012_01012001_160465328991072_1,4624,3468,832,612,3437,2434,잡곡밥
08_084_08014001_160344555187118_1,960,720,202,207,704,548,떡볶이
04_042_04012008_160656800092789_1,2982,1867,535,167,2331,824,시레기된장국
02_021_02011034_160838384855067_0,2597,3428,728,876,2155,2559,크림파스타
06_062_06012004_160851922175211_1,3024,4032,0,1251,3024,2563,떡갈비
06_062_06012004_160826973398010_1,3024,4032,4,804,3020,2404,떡갈비
01_012_01012001_160281749825987,4032,1960,1084,279,2767,1772,잡곡밥
09_091_09011002_161007262815157_1,960,720,234,262,723,506,갈치조림
02_021_02011027_161027268473956_1,4032,3024,425,505,3675,2240,짜장면
01_011_01011001_160419584641447_0,3024,3024,317,379,2568,2688,쌀밥
02_021_02011027_160854444168382_1,2268,4032,268,1511,1965,2828,짜장면
06_062_06012004_160937149831243_1,672,371,103,17,624,309,떡갈비
02_021_02011027_161009334033772_1,3024,4032,607,1170,2772,3049,짜장면
04_042_04012008_161001669672917_0,960,720,256,158,686,586,시레기된장국
01_014_01014001_160664047125758_1,3454,4061,681,1164,2935,2856,김치볶음밥
10_102_10012003_160629439067153_0,4032,3024,1909,379,3493,2219,돈까스
04_042_04012008_160457307654804_0,3024,3024,731,530,2460,2276,시레기된장국
02_021_02011034_160894825027556_0,1960,4032,361,934,1721,3272,크림파스타
04_042_04012008_160793221953894_0,540,671,101,229,402,524,시레기된장국
01_014_01014001_160623199647113_1,3142,2187,284,174,2830,1820,김치볶음밥
10_102_10012002_160604128051880_0,3088,3088,182,365,2677,2870,치킨
01_011_01011001_160448271951538_1,3000,4000,470,910,2537,2801,쌀밥
06_062_06012004_160843742064419_1,4032,3024,752,720,3317,1989,떡갈비
01_014_01014001_160749829029539_0,960,720,297,124,799,637,김치볶음밥
10_102_10012003_160379129384346_0,931,902,158,164,862,788,돈까스
08_084_08014001_160628239668130_0,3024,4032,374,988,2564,3236,떡볶이
01_014_01014001_160749825788683_0,720,961,203,330,543,688,김치볶음밥
01_012_01012001_160534571115236_1,4032,3024,827,805,2917,2475,잡곡밥
09_091_09011002_161093551979757_0,960,960,223,137,770,736,갈치조림
08_084_08014001_160584634519808_1,2272,4032,254,1451,2018,2667,떡볶이
10_102_10012002_160524102252494_0,3024,4032,495,1031,2500,2844,치킨
04_042_04012008_160707279671372_0,960,720,288,125,768,600,시레기된장국
10_102_10012003_160411863160035_0,3024,3024,285,699,1896,2896,돈까스
04_042_04012008_160778466885092_0,960,960,192,207,792,826,시레기된장국
01_012_01012001_160568406187080_1,2385,1988,190,116,2029,1630,잡곡밥
01_011_01011001_160354340918758_0,2909,2844,316,236,2548,2473,쌀밥
01_014_01014001_160518899719732_0,1000,1334,87,269,919,1154,김치볶음밥
02_021_02011034_160942551281099_0,3456,3456,923,762,2813,2700,크림파스타
06_062_06012004_160906368575397_0,960,960,221,304,701,695,떡갈비
10_102_10012002_160626661267675_0,3024,4032,566,740,2159,3122,치킨
01_014_01014001_160409823316013_1,3017,3312,632,426,2671,2237,김치볶음밥
01_011_01011001_160413620580826_0,2988,5312,335,1900,2470,3794,쌀밥
01_014_01014001_160623039454635_1,3024,4032,493,885,2442,2433,김치볶음밥
01_014_01014005_161062492911785_1,4032,3024,1163,382,3108,2599,비빔밥
02_021_02011034_160941284241048_0,3468,4624,641,718,2949,4004,크림파스타
10_102_10012003_160576079231430_1,960,917,187,238,755,613,돈까스
01_014_01014005_161070455210944_1,3024,3024,619,685,2380,2176,비빔밥
01_014_01014005_161058672350511_0,4032,1908,1422,315,2599,1515,비빔밥
10_102_10012003_160389362294731_1,4032,3024,911,826,3824,2226,돈까스
10_102_10012003_160584817383383_0,3024,4032,772,1038,2557,2695,돈까스
02_021_02011034_160405671532843_0,2715,2320,467,488,2196,2145,크림파스타
01_014_01014005_161079355339276_0,3024,4032,500,1120,2408,3028,비빔밥
09_091_09011002_161154965143757_1,4624,3468,1026,728,3378,2384,갈치조림
01_014_01014001_160333793290667_0,2268,4032,24,645,2244,2995,김치볶음밥
10_102_10012002_160772905142745_1,4608,3456,1512,969,3572,2206,치킨
02_021_02011034_160851955558465_0,3024,3024,833,994,2224,2492,크림파스타
10_102_10012002_160776618353898_0,3024,4032,516,818,2394,2468,치킨
01_014_01014001_160680051273484_1,4032,3024,757,336,3115,2069,김치볶음밥
06_062_06012004_160933789532485_1,2180,1960,682,536,1602,1504,떡갈비
06_062_06012004_160421370454583_0,3024,4032,478,1413,2635,3065,떡갈비
09_091_09011002_161103507228054_0,3024,4032,689,1334,2064,2577,갈치조림
10_102_10012003_160759703139509_1,2268,4032,257,1640,1775,2765,돈까스
01_014_01014001_160743917143744_0,3401,4070,369,727,2964,3384,김치볶음밥
02_021_02011027_160904133346393_1,4128,3096,710,464,3500,2643,짜장면
01_011_01011001_160387866390683_1,3264,1836,739,394,2477,1478,쌀밥
01_012_01012001_160380380913938_1,3024,3024,588,1010,2501,2095,잡곡밥
10_102_10012002_160638806679924_0,1960,4032,370,1123,1724,2715,치킨
08_084_08014001_160594454833778_0,3024,4032,516,1104,2515,3143,떡볶이
02_021_02011034_160974788085677_1,4032,3024,886,156,3574,2447,크림파스타
